ticker,volume_medio,nome
3STS.MI,1666853.36,GraniteShares 3x Short Tesla Daily ETP
IBGS.MI,40831.87,iShares € Govt Bond 1-3yr UCITS ETF
3FB.MI,20519.4,Leverage Shares 3x Facebook ETP Scs
PJS1.MI,7109.28,PIMCO ETFs plc - Euro Short Maturity UCITS ETF
UL3S.MI,318.11,WisdomTree US Treasuries 30Y 3x Daily Short
BUNDS5.MI,203.07,SG ETN DAILY SHORT -5X BUND FUTURE
