GC=F,oro
SI=F,argento
HG=F,rame
CL=F,crude oil
NG=F,gas naturale
ZC=F,mais
ZR=F,riso
CC=F,cacao
KC=F,caffè
CT=F,cotton
OJ=F,aranciata
SB=F,zucchero
